name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
Alicia,United States,Budget Double Room,1 night ·,April 2025,Group,Wonderful start to our Camino.,Absolutely loved the location of this place!! Great time and great value. Amazing showers.,n/a,,10
Sharon,Israel,Budget Single Room,1 night ·,April 2025,Solo traveller,Bad,,Small room. not recommended,,1.0
Leanna,United States,Budget Double Room,2 nights ·,April 2025,Family,I would never stay here again! It cost too much for this crap room!,You said you have parking. Parking cost 50 euros. The room was dirty the bed was unbelievably uncomfortable. Not even sure what the bed is made of? Felt like cardboard!,,,1.0
Boggian,United Kingdom,Budget Single Room,5 nights ·,April 2025,Solo traveller,Exceptional,"Perfect location, clean rooms and lovely staff",,,10
Paula,United States,Basic Double Room,3 nights ·,April 2025,Couple,I would definitely stay here again!,Friendly staff in an eclectic hotel. We loved the funky decor,,,10
Martina,Argentina,Basic Double Room,1 night ·,March 2025,Family,They do not have Parking,Location,The website said that there is a parking and when you get to the hotel you pay a really bad and uncorfortable parking the same price as the best parking in the city.,,6.0
Ilaria,Italy,Budget Single Room,1 night ·,March 2025,Solo traveller,Exceptional,Clean and very well located. Highly recommended The style of the hotel is cool with lots of vintage pieces. Nice breakfast,Only minus: not possible to have just eggs. They cook them already with bacon,,10
Marco,Italy,Single Room,1 night ·,March 2025,Solo traveller,Exceptional,Everything,Nothing,,10
Shannon,Canada,Budget Double Room,2 nights ·,March 2025,Family,Beds and expensive parking spoiled the stay.,Location and staff were great.,Bed was awful. Like sleeping on cardboard even the pillows weren’t great. Booked through Booking.com which said there was parking included but didn’t tell us it would be $25 Euros a night.,,5.0
Ludwig,Malta,Budget Double Room,1 night ·,March 2025,Couple,Exceptional,The hotel is museum of memorabilia from the past. Every corridor every room. From old phones to old motorbikes. Never expected something like that. Kudos to the owner and staff were all amazingly nice.,,,10
Fay,Australia,Budget Double Room,3 nights ·,March 2025,Couple,Exceptional,"Great location with an amazing and nostalgic decor of 60s childhood fun items , and other nostalgic pieces. So many things to notice going in and out.",,,10
Vianne,Portugal,Budget Double Room,2 nights ·,February 2025,Couple,Great location for business traveler and/or overnight stay for a flight to/from Porto,Well laid out room with work space - table on one side and bench on the other. Easy 10 minute walking distance to the airport. Restaurant on site - a bit expensive - but convenient. Staff very friendly and helpful. Priced well.,Add pastries to the breakfast buffet - it's Portugal after all!!,,10
Cristina,United States,Budget Double Room,1 night ·,March 2025,Group,"Great staff, creepy hotel",Staff was very friendly,You had to leave the keys and the place was very creepy,,6.0
Evgeniya,Estonia,Triple Room,2 nights ·,March 2025,Family,Exceptional,"Friendly staff, comfortable rooms and delicious breakfasts. I recommend this hotel. Convenient location. Many restaurants and attractions nearby. There are also grocery stores.",,,10
Lorenzo,Belgium,Deluxe Double Room with Balcony,6 nights ·,March 2025,Couple,Exceptional,"The hotel was clean, everyday roomservice. I dont need that, but a 100 for what they did! Also the hotel is not far from the highlights of Porto. We could do everything by feet. Nice breakfast and very polite staff. My next visit to Porto will be with some better weather 😅 but I allready know where to sleep",Nothing!!,,10
Noralee,United States,Budget Double Room,2 nights ·,March 2025,Solo traveller,Good,Modern clean,All good,,10
Roberto,Italy,Family Suite,2 nights ·,March 2025,Family,Good for traveller,"welcoming and very special hotel that seems like a museum from another time. Hotel very nice and clean. Perfect room for family. excellent central location. Good breakfast helpful, kind and welcoming staff.",.,,10
Jacopo,Malta,Budget Double Room,3 nights ·,February 2025,Couple,Not good value for money,"Good location, walking distance to the city centre and to metro stations. The staff was friendly","The hotel overall looked old (room, lift, common areas) and it didn't feel very comfortable. Also, the breakfast wasn't super good: we had to choose in advance the time to have it and the room for breakfast was super small, plus some food was not super (croissants looked like were there for 2/3 days). I wasn't expecting luxury from a 3-star, however we would have expected a bit more, also because we paid almost 70 euros per night, so the value for money was very bad.",,5.0
Ege,Ireland,Budget Double Room,2 nights ·,February 2025,Couple,Amazing location with friendly staff and large room and bathroom,"Location, cleanliness, friendly staff large rooms",Nothing amazing,,10
Cordula,Austria,Budget Double Room,1 night ·,January 2025,Couple,Passable,,The noise from other rooms and the hallway was awfully loud,,5.0
Christine,Australia,Basic Double Room,3 nights ·,January 2025,Couple,Exceptional,"It was a quirky place, great decor. The room was huge. Having a kettle was great. Loved the spiral staircase. The breakfast was great value",I cant think of anythink,,10
Charikleia,Spain,Budget Double Room,2 nights ·,December 2024,Couple,Really bad experience,,"The room had a very bad smell of mold, or space that had been closed for long time. Apart from that I had the worst experience with the staff of the hotel. I forgot a personal belonging and I had to call them every week for a month and a half to get them back. Very frustrating communication, never received a reply neither a confirmation via email until booking had to intervene. It was a nightmare",,1.0
Jade,Ireland,Basic Double Room,4 nights ·,January 2025,Couple,Cheap accommodation but you sacrifice comfort for the price,Accommodation was cheap and central and the staff are very friendly and helpful,"The rooms are very dated, the beds were so uncomfortable we checked out a night early and moved to a different hotel",,6.0
Pavlos,Greece,Basic Double Room,2 nights ·,January 2025,Family,I woudnt stay again.,Only the location was good. Very near to the port and metro stations.,"My Flight was delayed and missed the connection so I arrived one day later in Porto and in ""Pao de acucar"" hotel. Although they claimed that they have 24 hour reception in booking.com and I was also told so at my check-in, they didn't reply to my message through booking.com on time to calm me down when i was worried about my reservation. Instead they charged the amount fee of no show which was one day out of the two in total I had the reservation for. The charge was made after midnight but their reply that my reservation was good after all came next day in the morning. We had booked a twin room with 2 single beds and when we arrived we were told that there was no twin room available and that we had to sleep in a double bed. After we insisted we were given a family room that had two connecting rooms with the extra charge of 15 euros. If that room was the upgrade I don't even want to imagine how the original room looked like. The room that was given to us was very very old. it was smelling horribly when we entered. The door of the bedroom wouldnt close at all. The toilet paper had dirt on it already. We didn't use the toilet at all. Just out of curiosity we opened the small hotel fridge to see if there was a bottle of water available before we went out and we found out that the two bottles of water were already iceblocks cause apparently the fridge was forgotten forever set to the maximum frost. I wouldnt stay in this hotel ever again!",,2.0
Vaggelis,Greece,Budget Double Room,1 night ·,January 2025,Couple,Bad quality mattresses… it’s feel you sleep at a bench,Hotel smells bad….! At rooms main doors are very very old and you can Not feel safe.! Also I have stay to a lot of hotel but the comfort of mattresses was below zero…! I do NOT recommend that hotel even for free… hotel needs new doors and new mattress.! Zero is because when you pay to stay at a hotel you need minimum to feel safe and a good mattress to sleep.!,Mattresses…. door safety,,1.0
Jose,United Kingdom,Budget Double Room,1 night ·,January 2025,Solo traveller,Exceptional,Everything. From the current staff to breakfast. Amazing. I'm back again.,Nothing.,,10
